MARIS sample ID,Sample type,Laboratory,Latitude (decimal),Longitude (decimal),Station ID,Data provider's sample ID,MARIS Profile ID,MARIS Transect ID,Sampling depth (m),Total depth (m),Sampling start datetime,Sampling end datetime,Nuclide,Value type,Activity or MDA,Uncertainty,Unit,Variable type,Number of data points,Minimum value,Maximum value,Taxon name,Reported taxon name,Taxon rank,Biogroup,Taxon database URL,Body part,Top of core interval (cm),Bottom of core interval (cm),Sediment type,Reported sediment type,Sample volume (L),Salinity,Temperature [°C],Filtered,Mesh size (µm),Sample surface area (cm2),Dry weight (g),Wet weight (g),Dry/Wet (%),Sampling method,Preparation method,Drying method,Counting method,MARIS reference ID,Reference/Citation,Zotero URL,Reference note,Sample note,Measurement note
66876,"Seawater","Laboratory of Ion Beam Physics",62,4,"203","12804","","",0,,"1984-06-01 00:00:00","","137Cs","=",62,,"Bq/m3","",,,,"","","","","","",,,"","",,,,"","",,,,,"","","","",99,"Aoyama, M., Hirose, K., 2004. HAM 2008 - Historical Artificial Radionuclides in the Pacific Ocean and its Marginal Seas. The Scientific World JOURL 4, 200–215. https://doi.org/10.1100/tsw.2004.15","https://www.zotero.org/groups/2432820/maris/items/8ANGNEN5","","Author: Kautsky, H.. Unknown latitude and longitude seconds values set to zero.",""
61758,"Seawater","Laboratory of Ion Beam Physics",62,-0,"553","7518","","",0,,"1980-08-01 00:00:00","","137Cs","=",14,,"Bq/m3","",,,,"","","","","","",,,"","",,,,"","",,,,,"","","","",99,"Aoyama, M., Hirose, K., 2004. HAM 2008 - Historical Artificial Radionuclides in the Pacific Ocean and its Marginal Seas. The Scientific World JOURL 4, 200–215. https://doi.org/10.1100/tsw.2004.15","https://www.zotero.org/groups/2432820/maris/items/8ANGNEN5","","Author: Kautsky, H.. Unknown latitude and longitude seconds values set to zero.",""
331204,"Seawater","Federal Maritime and Hydrographic Agency, Hamburg",62.50138888888889,1.9980555555555557,"GN060","2013368","","",0,,"2013-08-30 00:00:00","","137Cs","=",1.5,0.096,"Bq/m3","",,,,"","","","","","",,,"","",,,,"","",,,,,"","","","",191,"OSPAR Comission’s Radioactive Substances Committee (RSC), 2018. OSPAR Environmental Monitoring of Radioactive Substances.","https://www.zotero.org/groups/2432820/maris/items/LQRA4MMK","","Updated: 2019-03-26T10:20:22.187. OSPAR ID: 87932; ","Updated: 2019-03-26T10:20:22.187. "
12063,"Seawater","MAFF (Staplake Mount)",64,-0.005,"7166 (Site 38 Cirolana)","10431","","",500,2440,"1981-08-01 00:00:00","","137Cs","=",4.8,0.24,"Bq/m3","",,,,"","","","","","",,,"","",,34.91,,"","",,,,,"","","","",84,"MAFF (now Cefas), 2004. Ministry of Agriculture Fisheries & Food, UK (now Cefas - Centre for Environment, Fisheries and Aquaculture Science).","https://www.zotero.org/groups/2432820/maris/items/KQRUCSFG","","",""
62207,"Seawater","Laboratory of Ion Beam Physics",61.5,4,"10","7967","","",300,,"1982-09-01 00:00:00","","137Cs","=",44,,"Bq/m3","",,,,"","","","","","",,,"","",,,,"","",,,,,"","","","",99,"Aoyama, M., Hirose, K., 2004. HAM 2008 - Historical Artificial Radionuclides in the Pacific Ocean and its Marginal Seas. The Scientific World JOURL 4, 200–215. https://doi.org/10.1100/tsw.2004.15","https://www.zotero.org/groups/2432820/maris/items/8ANGNEN5","","Author: Kautsky, H.. Unknown latitude and longitude seconds values set to zero.",""
61071,"Seawater","Laboratory of Ion Beam Physics",67,0,"157","6820","","",500,,"1981-07-15 00:00:00","","137Cs","=",6.0475236,,"Bq/m3","",,,,"","","","","","",,,"","",,,,"","",,,,,"","","","",99,"Aoyama, M., Hirose, K., 2004. HAM 2008 - Historical Artificial Radionuclides in the Pacific Ocean and its Marginal Seas. The Scientific World JOURL 4, 200–215. https://doi.org/10.1100/tsw.2004.15","https://www.zotero.org/groups/2432820/maris/items/8ANGNEN5","","Author: Casso Cruise: CIR. Unknown latitude and longitude seconds values set to zero.",""
61589,"Seawater","Laboratory of Ion Beam Physics",62,-1.5,"362","7348","","",0,,"1979-10-01 00:00:00","","137Cs","=",5.1,,"Bq/m3","",,,,"","","","","","",,,"","",,35.01,,"","",,,,,"","","","",99,"Aoyama, M., Hirose, K., 2004. HAM 2008 - Historical Artificial Radionuclides in the Pacific Ocean and its Marginal Seas. The Scientific World JOURL 4, 200–215. https://doi.org/10.1100/tsw.2004.15","https://www.zotero.org/groups/2432820/maris/items/8ANGNEN5","","Author: Kautsky, H.. Unknown latitude and longitude seconds values set to zero.",""
63372,"Seawater","Laboratory of Ion Beam Physics",64,6,"188","9134","","",50,260,"1982-09-01 00:00:00","","137Cs","=",11,,"Bq/m3","",,,,"","","","","","",,,"","",,34.984,,"","",,,,,"","","","",99,"Aoyama, M., Hirose, K., 2004. HAM 2008 - Historical Artificial Radionuclides in the Pacific Ocean and its Marginal Seas. The Scientific World JOURL 4, 200–215. https://doi.org/10.1100/tsw.2004.15","https://www.zotero.org/groups/2432820/maris/items/8ANGNEN5","","Author: Kautsky, H.. Unknown latitude and longitude seconds values set to zero.",""
12063,"Seawater","MAFF (Staplake Mount)",64,-0.005,"7166 (Site 38 Cirolana)","10431","","",500,2440,"1981-08-01 00:00:00","","134Cs","ND",,,"Bq/m3","",,,,"","","","","","",,,"","",,34.91,,"","",,,,,"","","","",84,"MAFF (now Cefas), 2004. Ministry of Agriculture Fisheries & Food, UK (now Cefas - Centre for Environment, Fisheries and Aquaculture Science).","https://www.zotero.org/groups/2432820/maris/items/KQRUCSFG","","",""
11851,"Seawater","MAFF (Staplake Mount)",75,15,"7090 (Site 38 Cirolana)","10217","","",3,1155,"1981-07-19 00:00:00","","137Cs","=",20.37,0.53,"Bq/m3","",,,,"","","","","","",,,"","",,34.993,,"","",,,,,"","","","",84,"MAFF (now Cefas), 2004. Ministry of Agriculture Fisheries & Food, UK (now Cefas - Centre for Environment, Fisheries and Aquaculture Science).","https://www.zotero.org/groups/2432820/maris/items/KQRUCSFG","","",""
63226,"Seawater","Laboratory of Ion Beam Physics",68,5,"78","8987","","",100,,"1979-09-01 00:00:00","","137Cs","=",9.6,,"Bq/m3","",,,,"","","","","","",,,"","",,,,"","",,,,,"","","","",99,"Aoyama, M., Hirose, K., 2004. HAM 2008 - Historical Artificial Radionuclides in the Pacific Ocean and its Marginal Seas. The Scientific World JOURL 4, 200–215. https://doi.org/10.1100/tsw.2004.15","https://www.zotero.org/groups/2432820/maris/items/8ANGNEN5","","Author: Kautsky, H.. Unknown latitude and longitude seconds values set to zero.",""
